"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","Discount","PaymentMethod","ShippingCost","Category","SalesChannel","ReturnStatus","ShipmentProvider","WarehouseLocation","OrderPriority"
268393,"SKU_1923","Blue Pen",33,"2021-11-29 14:00",14.47,80818,"Netherlands",0.42,"paypall",22.61,"Stationery","Online","Not Returned","Royal Mail","Amsterdam","High"
803221,"SKU_1993","Desk Lamp",49,"2020-08-19 18:00",11.43,42918,"Italy",0.45,"Bank Transfer",22.25,"Apparel","In-store","Not Returned","DHL","Paris","Medium"
124610,"SKU_1783","Headphones",41,"2024-02-17 19:00",96.95,76755,"Australia",0.42,"Bank Transfer",22,"Apparel","In-store","Not Returned","Royal Mail","London","Low"
171540,"SKU_1201","Notebook",22,"2022-01-14 09:00",4.35,10212,"Germany",0.16,"Bank Transfer",8.37,"Accessories","Online","Not Returned","FedEx","Rome","Medium"
867993,"SKU_1143","Headphones",20,"2023-03-26 02:00",86.24,48023,"Portugal",0.49,"paypall",11.38,"Apparel","Online","Not Returned","UPS","London","Low"
783850,"SKU_1217","Blue Pen",34,"2021-10-17 16:00",16.51,73500,"Netherlands",0.28,"Bank Transfer",29.45,"Furniture","In-store","Not Returned","DHL","Berlin","High"
677090,"SKU_1663","Headphones",34,"2021-10-21 04:00",3.16,42564,"Belgium",0.36,"Credit Card",21.61,"Stationery","In-store","Not Returned","Royal Mail","London","Low"
433935,"SKU_1500","Blue Pen",2,"2022-12-05 10:00",20.27,77478,"United Kingdom",0.45,"Credit Card",18.06,"Apparel","Online","Not Returned","UPS","Amsterdam","Medium"
349380,"SKU_1886","Desk Lamp",44,"2023-02-07 06:00",76.99,81731,"Netherlands",0.39,"Credit Card",9.2,"Accessories","In-store","Not Returned","Royal Mail","London","High"
918025,"SKU_1529","Headphones",6,"2024-06-06 09:00",97.5,32289,"Portugal",0.2,"Credit Card",22.5,"Apparel","Online","Returned","FedEx","London","High"
390431,"SKU_1409","USB Cable",32,"2021-10-30 07:00",26.96,71077,"United Kingdom",0.31,"Bank Transfer",16.33,"Apparel","Online","Not Returned","Royal Mail","Berlin","Low"
858961,"SKU_1169","Desk Lamp",8,"2022-03-13 14:00",72.25,35027,"Belgium",0.36,"paypall",7.7,"Electronics","In-store","Not Returned","Royal Mail","Paris","High"
753939,"SKU_1192","USB Cable",22,"2021-07-09 09:00",72.64,18780,"Belgium",0.32,"Credit Card",7.9,"Electronics","Online","Not Returned","UPS","London","High"
927811,"SKU_1730","USB Cable",15,"2025-02-17 09:00",17.89,56913,"United Kingdom",0.49,"Credit Card",16.15,"Furniture","Online","Not Returned","FedEx","London","High"
631976,"SKU_1012","USB Cable",41,"2024-05-25 16:00",16.58,35651,"Norway",0.28,"paypall",14.03,"Apparel","Online","Not Returned","Royal Mail","London","High"
944254,"SKU_1086","Backpack",10,"2024-10-29 08:00",88.74,87541,"Australia",0.31,"Bank Transfer",19.2,"Electronics","Online","Not Returned","Royal Mail","Berlin","Medium"
344955,"SKU_1651","Wall Clock",47,"2022-08-01 20:00",93.46,94971,"United States",0.27,"Credit Card",12.15,"Apparel","Online","Not Returned","UPS","Amsterdam","High"
228633,"SKU_1235","T-shirt",13,"2022-03-11 13:00",75.37,97522,"Portugal",0.29,"Credit Card",15.44,"Stationery","In-store","Returned","FedEx","Paris","Low"
207518,"SKU_1307","Wall Clock",19,"2023-12-29 17:00",73.46,81514,"France",0.46,"paypall",21.09,"Furniture","In-store","Not Returned","UPS","Rome","High"
598875,"SKU_1099","Backpack",49,"2024-09-07 06:00",80.47,25192,"Spain",0.24,"Bank Transfer",12.3,"Stationery","Online","Not Returned","DHL","Berlin","Medium"
850362,"SKU_1311","Blue Pen",43,"2022-08-29 06:00",88.07,25483,"Australia",0.13,"paypall",21.1,"Apparel","In-store","Not Returned","UPS","Berlin","Low"
105041,"SKU_1621","Backpack",48,"2025-02-23 06:00",24.25,47965,"Netherlands",0.36,"Bank Transfer",18.34,"Stationery","Online","Not Returned","FedEx","Paris","High"
911128,"SKU_1307","Notebook",32,"2023-11-15 04:00",44.77,23298,"Italy",0.16,"Credit Card",22.55,"Furniture","In-store","Returned","DHL","Paris","Medium"
476455,"SKU_1399","Blue Pen",28,"2025-06-22 00:00",97.82,45990,"Australia",0.36,"Credit Card",22.09,"Stationery","Online","Not Returned","UPS","Rome","Medium"
830418,"SKU_1138","USB Cable",4,"2024-10-02 07:00",25.88,62679,"United States",0.34,"Bank Transfer",14.12,"Accessories","Online","Not Returned","Royal Mail","Rome","Low"
610091,"SKU_1871","Blue Pen",11,"2024-04-10 16:00",49.42,87254,"United States",0.31,"paypall",16.09,"Stationery","In-store","Not Returned","FedEx","London","Medium"
523345,"SKU_1572","Notebook",14,"2022-05-20 08:00",28.86,82051,"Australia",0.14,"Credit Card",25.31,"Electronics","In-store","Returned","Royal Mail","Berlin","Medium"
635888,"SKU_1533","Headphones",30,"2021-06-03 18:00",56.3,98560,"Italy",0.45,"Bank Transfer",19.49,"Electronics","In-store","Not Returned","DHL","Paris","High"
226951,"SKU_1019","Backpack",26,"2022-02-03 06:00",78.98,50761,"Belgium",0.1,"Bank Transfer",5.44,"Stationery","In-store","Not Returned","Royal Mail","Paris","Low"
233375,"SKU_1392","Wireless Mouse",17,"2025-08-07 15:00",99.98,45892,"Belgium",0.39,"paypall",28.8,"Accessories","Online","Not Returned","FedEx","London","Medium"
596392,"SKU_1766","Notebook",31,"2023-05-22 19:00",57.31,94893,"Sweden",0.01,"Credit Card",8.47,"Electronics","Online","Not Returned","Royal Mail","Rome","Medium"
834042,"SKU_1714","Headphones",20,"2023-04-10 15:00",60.27,14570,"Belgium",0.26,"Bank Transfer",29.79,"Apparel","In-store","Not Returned","DHL","Paris","Low"
737939,"SKU_1818","Wireless Mouse",24,"2024-08-25 03:00",29.47,88027,"Portugal",0.09,"Credit Card",29.53,"Accessories","In-store","Not Returned","Royal Mail","Paris","High"
245213,"SKU_1877","Headphones",27,"2023-07-21 08:00",18.49,67004,"United States",0.45,"Credit Card",17.62,"Stationery","Online","Not Returned","DHL","Amsterdam","Low"
906651,"SKU_1422","Wireless Mouse",48,"2020-06-25 03:00",63.79,92944,"United States",0.38,"paypall",15.93,"Electronics","In-store","Not Returned","FedEx","Paris","High"
358669,"SKU_1168","Notebook",8,"2023-04-16 14:00",15.48,44481,"Belgium",0.2,"Bank Transfer",16.04,"Furniture","In-store","Not Returned","UPS","Rome","Medium"
834358,"SKU_1929","Notebook",6,"2025-07-01 19:00",4.71,29055,"Netherlands",0.1,"Bank Transfer",24.8,"Furniture","In-store","Not Returned","UPS","London","Medium"
405289,"SKU_1771","Headphones",17,"2025-04-04 07:00",41.45,81415,"Sweden",0.25,"paypall",27.8,"Accessories","Online","Not Returned","Royal Mail","Berlin","Low"
371258,"SKU_1189","Notebook",22,"2021-11-01 09:00",66.19,31096,"Germany",0.17,"paypall",5.3,"Apparel","Online","Not Returned","Royal Mail","Berlin","Low"
261704,"SKU_1681","Blue Pen",23,"2022-03-19 06:00",99.73,21250,"Germany",0.34,"Credit Card",20.07,"Stationery","In-store","Not Returned","FedEx","Berlin","Low"
462793,"SKU_1741","Wall Clock",22,"2023-05-08 11:00",82.2,90706,"Spain",0.44,"Bank Transfer",22.91,"Stationery","Online","Not Returned","UPS","Amsterdam","Medium"
352585,"SKU_1944","Desk Lamp",11,"2024-10-13 06:00",52.3,59647,"Germany",0.44,"Bank Transfer",15.02,"Furniture","Online","Not Returned","DHL","Amsterdam","Low"
141745,"SKU_1377","USB Cable",29,"2022-11-15 19:00",42.23,21069,"Spain",0.42,"Credit Card",24.86,"Electronics","In-store","Not Returned","UPS","London","Medium"
428580,"SKU_1049","Wireless Mouse",4,"2024-03-04 16:00",71.64,20329,"Norway",0.16,"Credit Card",17,"Apparel","Online","Not Returned","Royal Mail","Rome","High"
635017,"SKU_1841","Wall Clock",16,"2020-01-19 18:00",34.16,63142,"Norway",0.25,"paypall",28.21,"Accessories","Online","Not Returned","Royal Mail","Berlin","High"
938315,"SKU_1358","Desk Lamp",10,"2021-05-10 21:00",80.01,41203,"Sweden",0.08,"Credit Card",25.76,"Furniture","In-store","Not Returned","Royal Mail","Berlin","Medium"
835427,"SKU_1706","Blue Pen",13,"2023-11-14 21:00",64.08,90979,"Australia",0.08,"Credit Card",8.88,"Accessories","Online","Not Returned","Royal Mail","Rome","High"
329942,"SKU_1948","Desk Lamp",45,"2025-05-22 00:00",54.43,64768,"Netherlands",0.03,"Credit Card",7.11,"Electronics","Online","Not Returned","FedEx","Amsterdam","Medium"
530000,"SKU_1538","White Mug",31,"2021-02-18 10:00",68.39,87300,"Germany",0.36,"paypall",9.52,"Apparel","In-store","Not Returned","UPS","Paris","Medium"
404893,"SKU_1774","Wall Clock",29,"2021-11-11 01:00",61.5,37028,"Portugal",0.31,"Credit Card",28.96,"Furniture","In-store","Not Returned","DHL","Paris","High"
411483,"SKU_1287","USB Cable",30,"2023-04-12 16:00",23.52,59301,"United States",0.42,"Bank Transfer",13.28,"Electronics","Online","Not Returned","Royal Mail","Paris","High"
864705,"SKU_1768","USB Cable",17,"2021-11-13 16:00",91.49,80508,"Germany",0.4,"Credit Card",16.3,"Furniture","Online","Not Returned","UPS","Rome","High"
614984,"SKU_1865","Office Chair",39,"2025-07-26 06:00",49.31,63627,"Netherlands",0.47,"Credit Card",10.54,"Accessories","Online","Not Returned","DHL","Rome","Low"
882957,"SKU_1864","Office Chair",47,"2020-10-31 23:00",15.07,41655,"Netherlands",0,"Credit Card",10.9,"Accessories","In-store","Returned","Royal Mail","Berlin","High"
153051,"SKU_1618","Blue Pen",12,"2020-11-10 00:00",10.92,64564,"Spain",0.42,"Credit Card",26.53,"Apparel","Online","Not Returned","DHL","London","Medium"
844086,"SKU_1731","USB Cable",22,"2020-01-29 11:00",54.53,49763,"Belgium",0.14,"paypall",29.16,"Furniture","In-store","Not Returned","Royal Mail","Rome","High"
193389,"SKU_1819","White Mug",45,"2023-12-28 13:00",61.25,32751,"Belgium",0.26,"Bank Transfer",15.25,"Apparel","In-store","Returned","UPS","Berlin","Medium"
647337,"SKU_1305","Wireless Mouse",35,"2020-01-25 17:00",53.05,40299,"United Kingdom",0.45,"Credit Card",11.46,"Apparel","In-store","Returned","DHL","Rome","Medium"
630530,"SKU_1285","Desk Lamp",30,"2024-02-01 14:00",5.26,72677,"Italy",0.01,"Credit Card",15.8,"Electronics","Online","Not Returned","Royal Mail","London","High"
293381,"SKU_1308","Wireless Mouse",35,"2023-11-09 09:00",47.87,41849,"Australia",0.4,"paypall",15.86,"Stationery","In-store","Not Returned","FedEx","Rome","Low"
385521,"SKU_1105","Backpack",31,"2020-06-15 13:00",2.36,79556,"Sweden",0.42,"paypall",29.36,"Accessories","In-store","Not Returned","Royal Mail","London","Low"
750009,"SKU_1389","Wall Clock",14,"2021-12-19 10:00",22.78,42155,"Spain",0.41,"paypall",23.01,"Furniture","In-store","Not Returned","Royal Mail","Amsterdam","High"
863076,"SKU_1995","Desk Lamp",8,"2022-06-12 18:00",57.97,48652,"United Kingdom",0.19,"Credit Card",23.92,"Stationery","In-store","Not Returned","FedEx","Amsterdam","Low"
260928,"SKU_1880","White Mug",22,"2020-04-10 20:00",48.63,46399,"Germany",0.5,"Bank Transfer",9.32,"Electronics","Online","Not Returned","DHL","Berlin","Medium"
821384,"SKU_1812","White Mug",48,"2020-04-14 08:00",12.19,69708,"Australia",0.03,"Credit Card",12.78,"Furniture","Online","Not Returned","FedEx","Berlin","Low"
883842,"SKU_1808","White Mug",44,"2022-05-14 07:00",62.11,91979,"France",0.11,"Credit Card",14.88,"Electronics","Online","Not Returned","Royal Mail","Berlin","High"
524572,"SKU_1739","T-shirt",27,"2024-02-02 11:00",91.26,57280,"Italy",0.06,"Bank Transfer",6.99,"Electronics","Online","Not Returned","DHL","London","Low"
887928,"SKU_1055","Office Chair",35,"2025-04-29 15:00",69.93,43009,"Spain",0.24,"Bank Transfer",21.41,"Furniture","Online","Not Returned","UPS","Rome","High"
495460,"SKU_1888","USB Cable",38,"2020-12-27 07:00",26.33,70730,"France",0.21,"Credit Card",28.05,"Furniture","Online","Not Returned","Royal Mail","Paris","Low"
998342,"SKU_1036","Desk Lamp",38,"2021-11-11 08:00",65.23,25009,"Netherlands",0.01,"paypall",10.38,"Furniture","Online","Not Returned","FedEx","Rome","High"
272596,"SKU_1715","Notebook",48,"2023-01-24 22:00",96,13773,"Belgium",0.25,"paypall",25.97,"Stationery","Online","Returned","Royal Mail","Berlin","Low"
802183,"SKU_1610","Desk Lamp",20,"2023-03-21 00:00",93.64,62017,"France",0.3,"Bank Transfer",11.22,"Stationery","In-store","Not Returned","Royal Mail","Berlin","High"
461904,"SKU_1874","Blue Pen",5,"2025-03-05 11:00",15.45,68091,"Germany",0.19,"Bank Transfer",11.35,"Furniture","In-store","Not Returned","FedEx","Berlin","Low"
355564,"SKU_1741","USB Cable",47,"2021-05-07 11:00",87.1,83054,"Australia",0.5,"Bank Transfer",28.9,"Electronics","In-store","Not Returned","FedEx","Rome","High"
159269,"SKU_1951","Backpack",47,"2023-06-22 04:00",64.98,26293,"Belgium",0.36,"paypall",28.94,"Electronics","In-store","Returned","DHL","Berlin","High"
402788,"SKU_1654","Wireless Mouse",33,"2021-08-05 08:00",42.05,68333,"Australia",0.09,"Bank Transfer",12.4,"Accessories","Online","Not Returned","FedEx","London","Medium"
185227,"SKU_1246","White Mug",35,"2022-07-19 22:00",47.66,75989,"Spain",0.4,"paypall",13.73,"Stationery","In-store","Not Returned","UPS","London","High"
249646,"SKU_1880","Wall Clock",18,"2020-02-23 15:00",24.67,87540,"Portugal",0.07,"Credit Card",19.43,"Stationery","In-store","Not Returned","FedEx","London","High"
855667,"SKU_1791","T-shirt",43,"2024-01-04 11:00",6.04,33416,"Norway",0.38,"Credit Card",26.47,"Apparel","In-store","Not Returned","DHL","Amsterdam","Low"
811525,"SKU_1011","USB Cable",44,"2022-11-02 11:00",9,77547,"Norway",0.28,"paypall",26.14,"Furniture","Online","Not Returned","DHL","Berlin","High"
598909,"SKU_1746","Notebook",12,"2023-10-11 08:00",9.63,16748,"Italy",0.08,"Bank Transfer",12.62,"Apparel","In-store","Returned","DHL","Rome","Medium"
420589,"SKU_1178","Headphones",4,"2021-09-23 12:00",32.49,46877,"Netherlands",0.43,"paypall",12.03,"Furniture","Online","Not Returned","UPS","Rome","High"
965041,"SKU_1961","Blue Pen",2,"2022-05-02 03:00",56.68,88343,"United States",0.06,"Bank Transfer",11.59,"Furniture","In-store","Not Returned","UPS","Amsterdam","Low"
613644,"SKU_1374","Headphones",27,"2021-09-28 15:00",8.99,12558,"Belgium",0.17,"Credit Card",20.04,"Accessories","In-store","Not Returned","Royal Mail","Amsterdam","High"
208197,"SKU_1864","White Mug",21,"2022-06-13 22:00",67.13,51652,"United Kingdom",0.07,"Credit Card",22.1,"Stationery","Online","Not Returned","UPS","Paris","High"
719436,"SKU_1398","Notebook",32,"2021-12-24 22:00",91.99,40254,"Australia",0.22,"Bank Transfer",8.94,"Apparel","In-store","Returned","DHL","Rome","Medium"
892299,"SKU_1947","Desk Lamp",43,"2020-11-02 04:00",57.29,32485,"France",0.26,"Bank Transfer",9.76,"Stationery","In-store","Not Returned","FedEx","Paris","High"
431612,"SKU_1925","Office Chair",43,"2021-02-18 07:00",51.85,85654,"Norway",0.45,"Bank Transfer",11.31,"Stationery","Online","Not Returned","FedEx","London","Low"
396977,"SKU_1607","Blue Pen",2,"2024-10-12 10:00",83.63,74085,"Portugal",0.04,"Credit Card",15.34,"Accessories","In-store","Not Returned","Royal Mail","Rome","High"
988522,"SKU_1591","Headphones",13,"2023-09-25 02:00",22.42,45588,"Germany",0.01,"paypall",27.77,"Furniture","In-store","Not Returned","FedEx","London","Low"
925782,"SKU_1432","USB Cable",4,"2020-09-06 13:00",12.51,47003,"United Kingdom",0.5,"Credit Card",27.22,"Furniture","In-store","Not Returned","FedEx","Berlin","High"
569022,"SKU_1590","Notebook",29,"2025-08-27 08:00",91.91,19296,"France",0.12,"paypall",21.77,"Stationery","Online","Returned","UPS","London","High"
872045,"SKU_1773","White Mug",5,"2024-02-19 01:00",51.47,25080,"France",0.07,"paypall",18.48,"Apparel","Online","Not Returned","UPS","Berlin","Low"
271840,"SKU_1462","Wall Clock",44,"2021-08-02 23:00",47.76,12244,"Germany",0.34,"Credit Card",11.57,"Accessories","In-store","Returned","FedEx","Berlin","Medium"
738272,"SKU_1600","Headphones",32,"2022-08-30 02:00",65.65,60212,"France",0.15,"Credit Card",21.34,"Stationery","Online","Not Returned","FedEx","Berlin","Low"
603238,"SKU_1911","Office Chair",4,"2020-03-25 00:00",39.54,30280,"Australia",0.1,"Credit Card",23.84,"Furniture","Online","Not Returned","Royal Mail","London","Medium"
912901,"SKU_1141","Wireless Mouse",35,"2025-05-08 01:00",61.86,28873,"United States",0.08,"Bank Transfer",21.75,"Accessories","In-store","Not Returned","Royal Mail","Rome","Medium"
148245,"SKU_1115","T-shirt",1,"2022-08-30 19:00",3.42,98672,"France",0.31,"Credit Card",29.35,"Furniture","In-store","Not Returned","UPS","Rome","Medium"
228065,"SKU_1502","Headphones",4,"2025-03-14 14:00",67.87,91416,"Portugal",0.06,"Credit Card",24.47,"Electronics","Online","Not Returned","UPS","London","Medium"
894166,"SKU_1753","T-shirt",29,"2023-03-20 11:00",48.41,34940,"Portugal",0.03,"paypall",24.18,"Furniture","Online","Not Returned","UPS","Paris","Medium"
681541,"SKU_1805","Backpack",4,"2024-09-04 11:00",98.68,44005,"United Kingdom",0.47,"Bank Transfer",6.95,"Furniture","In-store","Not Returned","FedEx","Paris","Medium"
978196,"SKU_1975","T-shirt",21,"2025-01-31 13:00",28.27,93259,"Spain",0.27,"Credit Card",13.09,"Apparel","In-store","Not Returned","Royal Mail","Rome","Medium"
866410,"SKU_1916","White Mug",32,"2024-01-16 11:00",93.64,30632,"Sweden",0.44,"Bank Transfer",26.61,"Furniture","In-store","Not Returned","Royal Mail","Amsterdam","High"
869776,"SKU_1275","Headphones",15,"2021-05-01 21:00",95.11,45174,"Belgium",0.4,"Credit Card",13.96,"Furniture","Online","Returned","FedEx","London","Medium"
340416,"SKU_1366","Office Chair",48,"2024-11-04 12:00",90.28,54045,"Norway",0.11,"Credit Card",11.05,"Electronics","In-store","Not Returned","FedEx","Amsterdam","Low"
153175,"SKU_1137","Backpack",5,"2021-05-14 20:00",56.96,94959,"United Kingdom",0.35,"Credit Card",18.15,"Stationery","In-store","Not Returned","FedEx","Paris","Medium"
460182,"SKU_1816","T-shirt",27,"2025-09-03 12:00",54.05,90347,"Spain",0.07,"paypall",18.2,"Apparel","In-store","Not Returned","Royal Mail","Paris","Low"
524791,"SKU_1456","White Mug",11,"2025-08-04 11:00",81.79,97106,"Italy",0.13,"paypall",28.81,"Apparel","Online","Not Returned","DHL","Amsterdam","High"
975955,"SKU_1907","T-shirt",40,"2022-11-23 09:00",26.06,33173,"Portugal",0.18,"Credit Card",24.89,"Accessories","Online","Not Returned","DHL","Paris","High"
